epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,129.941,0.44674,0.89896,1,0.25489,0.000549938,0.000549938,0.000549938
2,260.741,0.27018,0.90155,1,0.31842,0.00106912,0.00106912,0.00106912
3,383.68,0.28775,0.89378,1,0.28193,0.00155163,0.00155163,0.00155163
4,508.124,0.27865,0.85751,1,0.33464,0.00150197,0.00150197,0.00150197
5,640.216,0.31108,0.88083,1,0.4314,0.00144696,0.00144696,0.00144696
6,764.976,0.30289,0.87306,1,0.33894,0.00139195,0.00139195,0.00139195
7,887.029,0.2865,0.88342,1,0.31811,0.00133693,0.00133693,0.00133693
8,1010.58,0.25307,0.89637,1,0.32509,0.00128192,0.00128192,0.00128192
9,1132.32,0.25209,0.89637,1,0.31709,0.00122691,0.00122691,0.00122691
10,1251.74,0.23058,0.8886,1,0.27108,0.0011719,0.0011719,0.0011719
11,1373.32,0.19496,0.87565,1,0.41473,0.00111689,0.00111689,0.00111689
12,1496.86,0.22044,0.87565,1,0.35061,0.00106188,0.00106188,0.00106188
13,1628.51,0.198,0.89119,1,0.31234,0.00100687,0.00100687,0.00100687
14,1755.72,0.18929,0.90674,1,0.4049,0.000951857,0.000951857,0.000951857
15,2141.03,0.17226,0.89637,1,0.34332,0.000896846,0.000896846,0.000896846
16,2262.63,0.14897,0.90415,1,0.33342,0.000841835,0.000841835,0.000841835
17,2383.78,0.13833,0.88342,1,0.34487,0.000786824,0.000786824,0.000786824
18,2501.9,0.13984,0.89637,1,0.36902,0.000731813,0.000731813,0.000731813
19,2619.35,0.14025,0.88342,1,0.37732,0.000676802,0.000676802,0.000676802
20,2737.66,0.13459,0.88601,1,0.49987,0.000621791,0.000621791,0.000621791
21,2858.41,0.13337,0.88601,1,0.40739,0.00056678,0.00056678,0.00056678
22,2973.79,0.12864,0.89119,1,0.37862,0.000511769,0.000511769,0.000511769
23,3774.14,0.11736,0.90155,1,0.40765,0.000456758,0.000456758,0.000456758
24,3919.98,0.10709,0.87824,1,0.43073,0.000401747,0.000401747,0.000401747
25,4064.59,0.11146,0.89119,1,0.44946,0.000346736,0.000346736,0.000346736
26,4204.82,0.10479,0.88601,1,0.42584,0.000291725,0.000291725,0.000291725
27,4461.75,0.09833,0.88342,1,0.41728,0.000236714,0.000236714,0.000236714
28,4653.49,0.08853,0.88083,1,0.43148,0.000181703,0.000181703,0.000181703
29,4812.2,0.09715,0.87824,1,0.42366,0.000126692,0.000126692,0.000126692
30,4972.78,0.08404,0.88342,1,0.41513,7.1681e-05,7.1681e-05,7.1681e-05
